,tweet
461,new releas number number usernam usernam usernam usernam pictur vinyl reissu usernam usernam usernam pictur
462,usernam see usernam get bro john
463,usernam usernam sorri tame crowd bakersfield known anytim anyon danc fun secur enjoy hope fun
464,chanc come back sioux fall sd usernam love see usernam usernam
465,prayer usernam person fold hand
466,usernam usernam usernam enjoy hometown mayb see ya round
467,usernam usernam new song friday though
468,wait wednesday wait forev see usernam care work next day httpaddr
469,usernam play tailgat tallboy peoria il juli number mission see summer chanc hashtag
470,usernam usernam thought real countri dead til discov whitey jamey johnson
471,hope countri music usernam long rise countri music star like usernam keep real httpaddr
472,get see usernam tonight seattl realiz get listen new usernam cd way home
473,usernam hope feel better need usernam whiskey get ya mlnumber
474,usernam new album great
475,air codi jink loud heavi rain httpaddr usernam usernam
476,usernam usernam usernam god bless straight damn perfect countri damn music shit today make true legend roll grave hashtag hashtag hashtag
477,usernam usernam usernam usernam usernam reppin jink usernam
478,usernam opinion one wear concert shirt band concert said band
479,usernam said like two dollar beer like three dollar well old honki tonk bar know smell felt
480,usernam usernam must whiskey best one
481,might go usernam showbox sodo seattl wa aug number httpaddr
482,hey usernam hope kill tonight hashtag look forward catch one show futur come hashtag pictur
483,usernam usernam smile face heart shape eye
484,usernam new song hashtag hashtag absolut jam
485,usernam usernam usernam
486,got front row ticket usernam loudli cri face wait see face throw kiss
487,usernam usernam usernam usernam usernam usernam nice review tj sound great
488,usernam usernam usernam usernam jump number week
489,last night amaz great kickstart weekend payday blast usernam lifer way houston sign horn emoji modifi fitzpatrick type number grimac face
490,usernam usernam usernam realli today countri music realli like usernam two favorit cast stone devil
491,usernam mani retweet come back ardmor play
492,usernam song get better everi singl time listen smile face heart shape eye
493,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam let go usernam turn
494,usernam releas whole album free youtub definit complain
495,usernam usernam ever get enough codi jink hug face
496,usernam new album hashtag repeat wyd
497,thing heavi black heart today hashtag listen new album lifer usernam hashtag hashtag hashtag hashtag
498,usernam usernam usernam usernam usernam
499,usernam usernam definit
500,usernam usernam walkout thing good game
501,ya usernam like tweet keep everyon updat first date goe hashtag
502,usernam usernam usernam person definit would
503,usernam look forward east coast date rememb rva
504,usernam usernam usernam usernam basic rest texa
505,usernam usernam thank man appreci
506,go usernam panther island pavillion fort worth tx aug number httpaddr
507,usernam usernam nobodi ever get sandi
508,cast stone give right usernam black heart
509,readi lifer releas usernam
510,usernam must whiskey spotifi germani appl music heard yesterday life without anymor neither amazon itun store list sell loudli cri face take money give song
511,usernam new album hashtag listen lovin right hashtag
512,usernam usernam surviv summer project
513,usernam nail hashtag one best pure countri voic countri music today hashtag httpaddr
514,usernam anywher virginia
515,probabl sleep instead bough vinyl usernam usernam usernam pictur
516,usernam sad news hope feel better codi
517,hard pick favorit lifer album usernam super good
518,usernam must whiskey pictur
519,usernam shall spirit nashvil tho god
